article_title,article_authors,cite_index,cite_title,cite_authors,cite_bibcode,doi,journal,year,volume,number,pages
Super Metal-rich Stars in the LAMOST Survey: A Test on Radial Migration,"Chen, Y. Q.;Zhao, G.;Zhao, J. K.;Liang, X. L.;Wu, Y. Q.;Jia, Y. P.;Tian, H.;Liu, J. M.",1,Chemodynamic evolution of Sun-like stars in nearby moving groups,"Lehmann, Christian;Murphy, Michael T.;Liu, Fan;Flynn, Chris",2025MNRAS.536..498L,10.1093/mnras/stae2656,\mnras,2025,536,1,498-508
Super Metal-rich Stars in the LAMOST Survey: A Test on Radial Migration,"Chen, Y. Q.;Zhao, G.;Zhao, J. K.;Liang, X. L.;Wu, Y. Q.;Jia, Y. P.;Tian, H.;Liu, J. M.",2,Insights from super-metal-rich stars: Is the Milky Way bar young?,"Nepal, S.;Chiappini, C.;Guiglion, G.;Steinmetz, M.;Pérez-Villegas, A.;Queiroz, A. B.;Miglio, A.;Dohme, P.;Khalatyan, A.",2024A&A...681L...8N,10.1051/0004-6361/202348365,\aap,2024,681,None,L8
Super Metal-rich Stars in the LAMOST Survey: A Test on Radial Migration,"Chen, Y. Q.;Zhao, G.;Zhao, J. K.;Liang, X. L.;Wu, Y. Q.;Jia, Y. P.;Tian, H.;Liu, J. M.",3,Precise masses and ages of  1 million RGB and RC stars observed by LAMOST,"Wang, Chun;Huang, Yang;Zhou, Yutao;Zhang, Huawei",2023A&A...675A..26W,10.1051/0004-6361/202245809,\aap,2023,675,None,A26
Super Metal-rich Stars in the LAMOST Survey: A Test on Radial Migration,"Chen, Y. Q.;Zhao, G.;Zhao, J. K.;Liang, X. L.;Wu, Y. Q.;Jia, Y. P.;Tian, H.;Liu, J. M.",4,Timing the formation of the galactic thin disc with asteroseismic stellar ages,"Wu, Yaqian;Xiang, Maosheng;Zhao, Gang;Chen, Yuqin;Bi, Shaolan;Li, Yaguang",2023MNRAS.520.1913W,10.1093/mnras/stad223,\mnras,2023,520,2,1913-1927
Super Metal-rich Stars in the LAMOST Survey: A Test on Radial Migration,"Chen, Y. Q.;Zhao, G.;Zhao, J. K.;Liang, X. L.;Wu, Y. Q.;Jia, Y. P.;Tian, H.;Liu, J. M.",5,Investigating the vertical distribution of the disk as a function of radial action,"Jia, Yunpeng;Chen, Yuqin;Du, Cuihua;Zhao, Gang",2023A&A...669A.107J,10.1051/0004-6361/202142977,\aap,2023,669,None,A107
Super Metal-rich Stars in the LAMOST Survey: A Test on Radial Migration,"Chen, Y. Q.;Zhao, G.;Zhao, J. K.;Liang, X. L.;Wu, Y. Q.;Jia, Y. P.;Tian, H.;Liu, J. M.",6,The Gaia-ESO Survey: Old super-metal-rich visitors from the inner Galaxy,"Dantas, M. L. L.;Smiljanic, R.;Boesso, R.;Rocha-Pinto, H. J.;Magrini, L.;Guiglion, G.;Tautvaišienė, G.;Gilmore, G.;Randich, S.;Bensby, T.;Bragaglia, A.;Bergemann, M.;Carraro, G.;Jofré, P.;Zaggia, S.",2023A&A...669A..96D,10.1051/0004-6361/202243667,\aap,2023,669,None,A96
Super Metal-rich Stars in the LAMOST Survey: A Test on Radial Migration,"Chen, Y. Q.;Zhao, G.;Zhao, J. K.;Liang, X. L.;Wu, Y. Q.;Jia, Y. P.;Tian, H.;Liu, J. M.",7,Evidence for Corotation Origin of Super-metal-rich Stars in LAMOST-Gaia: Multiple Ridges with a Similar Slope in the ϕ versus L z Plane,"Chen, Yuqin;Zhao, Gang;Zhang, Haopeng",2022ApJ...936L...7C,None,None,None,None,None,None
Super Metal-rich Stars in the LAMOST Survey: A Test on Radial Migration,"Chen, Y. Q.;Zhao, G.;Zhao, J. K.;Liang, X. L.;Wu, Y. Q.;Jia, Y. P.;Tian, H.;Liu, J. M.",8,High-α-Metal-Rich stars in the LAMOST-MRS survey and its connection with the galactic bulge,"Zhang, Hao-Peng;Chen, Yu-Qin;Zhao, Gang;Zhao, Jing-Kun;Liang, Xi-Long;Li, Hai-Ning;Wu, Ya-Qian;Luo, Ali;Wang, Rui",2021RAA....21..153Z,10.1088/1674-4527/21/6/153,Research in Astronomy and Astrophysics,2021,21,6,153
Super Metal-rich Stars in the LAMOST Survey: A Test on Radial Migration,"Chen, Y. Q.;Zhao, G.;Zhao, J. K.;Liang, X. L.;Wu, Y. Q.;Jia, Y. P.;Tian, H.;Liu, J. M.",9,Understanding the evolution and dust formation of carbon stars in the Large Magellanic Cloud via the JWST,"Marini, E.;Dell'Agli, F.;Groenewegen, M. A. T.;García-Hernández, D. A.;Mattsson, L.;Kamath, D.;Ventura, P.;D'Antona, F.;Tailo, M.",2021A&A...647A..69M,10.1051/0004-6361/202039613,\aap,2021,647,None,A69
Super Metal-rich Stars in the LAMOST Survey: A Test on Radial Migration,"Chen, Y. Q.;Zhao, G.;Zhao, J. K.;Liang, X. L.;Wu, Y. Q.;Jia, Y. P.;Tian, H.;Liu, J. M.",10,Age-metallicity dependent stellar kinematics of the Milky Way disc from LAMOST and Gaia,"Wu, Yaqian;Xiang, Maosheng;Chen, Yuqin;Zhao, Gang;Bi, Shaolan;Li, Chengdong;Li, Yaguang;Huang, Yang",2021MNRAS.501.4917W,10.1093/mnras/staa3949,\mnras,2021,501,4,4917-4934
Super Metal-rich Stars in the LAMOST Survey: A Test on Radial Migration,"Chen, Y. Q.;Zhao, G.;Zhao, J. K.;Liang, X. L.;Wu, Y. Q.;Jia, Y. P.;Tian, H.;Liu, J. M.",11,Gas and dust from metal-rich AGB stars,"Ventura, P.;Dell'Agli, F.;Lugaro, M.;Romano, D.;Tailo, M.;Yagüe, A.",2020A&A...641A.103V,10.1051/0004-6361/202038289,\aap,2020,641,None,A103
Super Metal-rich Stars in the LAMOST Survey: A Test on Radial Migration,"Chen, Y. Q.;Zhao, G.;Zhao, J. K.;Liang, X. L.;Wu, Y. Q.;Jia, Y. P.;Tian, H.;Liu, J. M.",12,Supersolar metallicity in G0-G3 main-sequence stars with V < 15. II. An extension of the sample,"Chávez, M.;Tapia-Schiavon, C.;Bertone, E.;López-Valdivia, R.",2020MNRAS.493.5807C,10.1093/mnras/staa683,\mnras,2020,493,4,5807-5815
